Aex,Ku,B_anis,A,Msat,W,rmse_J_on_mean,rmse_J_on_std,rmse_J_off_mean,rmse_J_off_std,err_pos_mean,err_pos_std,err_maxvel_mean,err_maxvel_std,err_mean_mean,err_mean_std,err_conf_95
31e-12,4.05e+5,0.019841460686747636,0.01,7.95e+5,100e-9,0.016844336365125077,0.011005710406317874,0.08599860274611563,0.04846197939021619,0.09825103236624178,0.06956311763252436,0.03712280165857751,0.022975007527832384,0.05955419328401501,0.028414517163031016,0.07716569348244331
31e-12,4.05e+5,0.019841460686747636,0.01,7.95e+5,50e-9,0.02654249106600668,0.010674219312260287,0.10539542791075258,0.06633056235304399,0.12503485950974383,0.07611787489556739,0.020508057632699205,0.01094536655316241,0.06937020902980057,0.037091558023911966,0.09235979487249235
31e-12,4.05e+5,0.019841460686747636,0.05,7.95e+5,100e-9,0.007937109859827698,0.0031375687392202626,0.015888108554164237,0.012457099078901749,0.02058095225618147,0.014455664292657126,0.006383508301627627,0.004326195721622008,0.012697419742950258,0.006123528486050732,0.01649282202018747
31e-12,4.05e+5,0.019841460686747636,0.05,7.95e+5,50e-9,0.003081373440161398,0.0013558511297593048,0.007577309191300487,0.003354117757238293,0.0052593085340526535,0.004671435160478884,0.0005906336835330928,0.000398269851110086,0.004127156212261908,0.0020177030110302965,0.005377741494962481
31e-12,5.36e+5,0.3494012091144205,0.01,7.95e+5,100e-9,0.008802423885589817,0.004533074743282855,0.020842459780196644,0.008731361648488018,0.02394475923792998,0.010997758201729463,0.008652664868163984,0.0050217094693048945,0.015560576942970106,0.004985263786704007,0.018650475450307243
31e-12,5.36e+5,0.3494012091144205,0.01,7.95e+5,50e-9,0.00922782963545821,0.00591829928221739,0.030153240276747123,0.01589826648061914,0.03456989657203528,0.01833779736966714,0.003037862249135881,0.0018090356712673666,0.019247207183344127,0.007941122673191126,0.024169166009257552
31e-12,5.36e+5,0.3494012091144205,0.05,7.95e+5,100e-9,0.0032322199867842,0.0009192885009180417,0.004712417630186143,0.003688971249894681,0.004793392479397229,0.003987074725956673,0.0014931009524751238,0.0009565068426454604,0.0035577827622106733,0.0018122587217788767,0.004681032355194696
31e-12,5.36e+5,0.3494012091144205,0.05,7.95e+5,50e-9,0.005258478486274601,0.0020791633525335637,0.013568793523627378,0.0013419003203121252,0.011977342422712233,0.0004909868863575908,0.00018675070194412724,0.0001475993585499277,0.007747841283639587,0.0008824816866313107,0.0082948090997754
31e-12,9.17e+5,0.020368859610232493,0.01,1.2e+6,100e-9,0.02163410527724349,0.00828860147552607,0.07700697631089581,0.04589852934222736,0.09480079271960604,0.056159695917513776,0.017199254474034465,0.00910622458116808,0.052660282195444955,0.025074161744994383,0.06820140865603924
31e-12,9.17e+5,0.020368859610232493,0.01,1.2e+6,50e-9,0.016792027443292522,0.009553580502598798,0.05741340770866058,0.04288525181919098,0.06580106103798564,0.04772453374484403,0.009733396353557832,0.003951972709994019,0.03743497313587414,0.023563113441981937,0.05203954215522631
31e-12,9.17e+5,0.020368859610232493,0.05,1.2e+6,100e-9,0.010268259561344925,0.0034510738949529943,0.015006051351492317,0.007917261117579677,0.019469242122154506,0.013233291866935845,0.007577978862476686,0.0012070553372830965,0.013080382974367111,0.00529597213024001,0.016362860508208246
31e-12,9.17e+5,0.020368859610232493,0.05,1.2e+6,50e-9,0.0026151300762929583,0.0006853465842334876,0.005425015529621924,0.0022059833824482245,0.005358750775550825,0.0036930546691337366,0.00010150058668604301,7.083911242072471e-05,0.0033750992420379378,0.0013132792444393395,0.00418907815082359
