Aex,Ku,B_anis,A,Msat,W,c0,c1,c2,c3,d0,d1,k0,k1,k2,k3,k4
3.1e-11,536000.0,0.3494012091144205,0.01,795000.0,5e-08,4.0743844686934025,-8.325544371267713e-09,2.352632823706098e-19,-2.212377610865321e-30,77731214.22823837,0.005028689087035671,316706851.98421407,-0.6266658603756086,-2.3579273521436798e-11,1.0110951026133464e-21,-1.1125359148160489e-32
3.1e-11,917000.0,0.020368859610232493,0.01,1200000.0,1e-07,2.720193368991223,-1.036516248648687e-08,4.0868974627229276e-19,-4.8395683983743726e-30,36315198.60921665,0.005884143051150162,98784362.45039043,-0.36040692740363817,-4.614844951347538e-11,2.2290390430345807e-21,-2.847671276186048e-32
3.1e-11,917000.0,0.020368859610232493,0.01,1200000.0,5e-08,5.682409754482295,-9.65064007252682e-09,2.305294752065083e-19,-1.3921488096410562e-30,76874554.95370848,0.005054187929521336,436832720.94043833,-0.7131686938022255,-3.105429775650766e-11,1.058118470817131e-21,-7.036181709785322e-33
1.1e-11,1110000.0,0.34203552627689926,0.05,1200000.0,1e-07,0.08617545964775916,-3.9490035920911866e-10,4.956565120951918e-22,2.579917381919777e-32,161591156.41070908,0.00030287810019609526,13925192.1787058,-0.06378630505210425,-3.9512961592052785e-14,4.3190418346182726e-24,7.814004752987459e-36
1.1e-11,1110000.0,0.34203552627689926,0.05,1200000.0,5e-08,0.035323312623101434,-4.0311232945919925e-10,2.2371284579709263e-22,1.3526064004287416e-32,350238058.35950685,-0.00025441267980060164,12371568.427940905,-0.14119426626919165,1.8090964074043136e-13,4.680427009502984e-24,-3.441202190485218e-36
1.1e-11,405000.0,0.019841460686747636,0.05,795000.0,1e-07,0.4693086917777521,-2.306259340584597e-09,1.5060572728287656e-20,1.1210640486356401e-31,202713768.1344992,0.0021734654205856053,95135333.32854038,-0.46649049501212975,-1.9595894796483154e-12,5.545914580105263e-23,2.436593943971263e-34
1.1e-11,405000.0,0.019841460686747636,0.05,795000.0,5e-08,0.12165279730310963,-1.9155167544534753e-09,2.1849176338049685e-21,1.371890686079657e-31,366164199.0725085,0.001769935940606747,44544899.08942336,-0.7011783405462056,-2.590303333119998e-12,5.410088967567605e-23,2.4281586318760335e-34
1.1e-11,536000.0,0.3494012091144205,0.05,795000.0,1e-07,0.07259532338055179,-7.875097950455847e-10,9.768183380990605e-22,3.568634067241436e-32,373184144.6572792,0.0009333359529191973,27091423.6618898,-0.2938184134479909,-3.704780890030297e-13,1.422927619420186e-23,3.3307344777686965e-35
1.1e-11,536000.0,0.3494012091144205,0.05,795000.0,5e-08,0.02624563919514604,-7.572112224756761e-10,1.0434130863447686e-22,2.850546670364767e-32,511576665.63796854,0.001342656826347194,13426656.586989988,-0.38733635349112916,-9.632962380841424e-13,1.472282617901429e-23,3.827305945786519e-35
1.1e-11,917000.0,0.020368859610232493,0.05,1200000.0,1e-07,0.21439975433899494,-1.0085408160372373e-09,3.484822318857991e-21,6.212466393315529e-32,191747446.99314925,0.0007082805696817979,41110605.530460656,-0.1932332714833848,-4.612408086443371e-14,1.4380477641730486e-23,4.400169236186547e-35
1.1e-11,917000.0,0.020368859610232493,0.05,1200000.0,5e-08,0.06997815233994971,-8.559793497822071e-10,1.4997594522086625e-22,3.6027097446845236e-32,404970166.58847433,-5.129776994548302e-05,28339064.01066307,-0.3466496896007543,1.0464561528356991e-13,1.4582206223212817e-23,-1.8481097566317656e-36
